A,B,C,D
1.0,28.0,-5.879999999403953,182.98999999977647
2.0,19.0,-3.679999996423721,120.36999998569489
3.0,0.0,-1.719999988079071,-12.689999986886978
4.0,25.0,-0.02,161.99999999955295
5.0,31.0,2.2900000023841858,204.310000013113
6.0,24.0,4.130000005960465,155.36999998569488
7.0,22.0,6.329999994039536,141.23999999046325
8.0,22.0,8.340000014305115,141.3400000143051
9.0,36.0,10.160000007152558,239.36999998569488
10.0,18.0,12.160000007152558,113.29000000238419
11.0,12.0,14.15000000178814,71.29000000238419
12.0,33.0,16.310000013113022,218.12000000059604
13.0,29.0,18.009999999329448,190.15000000178813
14.0,5.0,20.219999994635582,22.32000000357628
15.0,4.0,22.219999994635582,15.28000001192093
16.0,18.0,24.239999990463257,113.01999999910593
17.0,3.0,26.160000007152558,7.98
18.0,17.0,28.15000000178814,106.35999999523163
19.0,35.0,30.28000001192093,232.03000000074505
20.0,33.0,32.32000000357628,218.1999999988079
21.0,29.0,34.030000000745055,190.1399999964237
22.0,19.0,36.35000000476837,120.23
23.0,30.0,38.030000000745055,197.29999999284743
24.0,37.0,40.05999999821186,246.21000000417231
25.0,28.0,42.030000000745055,183.1999999988079
26.0,15.0,44.12000000059604,92.05999999821186
27.0,34.0,46.05999999821186,225.10999999523162
28.0,4.0,48.070000003576276,15.199999998807908
29.0,10.0,50.13000000596046,57.160000007152554
30.0,37.0,52.26999999165535,246.3400000143051
31.0,12.0,54.030000000745055,71.25000001072884
32.0,33.0,56.189999993443486,218.12000000059604
33.0,35.0,58.070000003576276,232.26000000119208
34.0,29.0,60.13999999642372,190.1699999976158
35.0,8.0,62.05999999821186,43.21999999463558
36.0,21.0,64.15000000178813,134.26000000119208
37.0,36.0,66.28000001192093,239.18000000298022
38.0,32.0,67.98,211.13000000596045
39.0,5.0,70.26999999165535,22.080000001490117
40.0,5.0,72.26999999165535,22.10999999523163
41.0,31.0,74.05000000029803,204.16000000715255
42.0,36.0,76.15000000178814,239.28000001192092
43.0,13.0,78.29999999284745,78.35000000476838
44.0,37.0,80.36999998569489,246.310000013113
45.0,16.0,82.12000000059605,99.1899999934435
46.0,12.0,84.23999999046326,71.13000000596047
47.0,3.0,86.32000000357628,8.089999999403954
48.0,7.0,88.03000000074506,35.98
49.0,9.0,90.23,50.21999999463558
50.0,10.0,92.01999999910593,57.18000000298023
51.0,23.0,94.31000001311303,148.05999999821185
52.0,36.0,96.31000001311303,239.13000000596045
53.0,10.0,98.15000000178814,57.36999998569488
54.0,11.0,100.0399999986589,64.15000000178813
55.0,27.0,102.26999999165535,176.18999999344348
56.0,5.0,104.10999999523163,22.290000002384186
57.0,20.0,106.1899999934435,127.29000000238419
58.0,5.0,108.36999998569489,22.07000000357628
59.0,24.0,110.08999999940396,155.18000000298022
60.0,29.0,112.35999999523163,190.16000000715255
61.0,28.0,114.21000000417233,183.3400000143051
62.0,7.0,116.03000000074506,36.13999999642372
63.0,27.0,118.29999999284745,175.99999999955295
64.0,5.0,120.03000000074506,22.09999999731779
65.0,28.0,122.23999999046326,183.01999999910592
66.0,30.0,124.15000000178814,197.0800000014901
67.0,17.0,126.01999999910593,106.00999999932945
68.0,5.0,127.98999999977649,22.239999990463257
69.0,36.0,130.03999999865889,238.99999999955295
70.0,7.0,132.35000000476836,36.29000000238418
71.0,11.0,134.310000013113,64.1999999988079
72.0,19.0,135.98999999977647,119.99999999955297
73.0,15.0,139.0,92.29999999284745
74.0,30.0,140.1999999988079,197.35000000476836
75.0,32.0,142.32999999403953,211.13000000596045
76.0,9.0,144.23999999046325,50.05000000029802
77.0,7.0,146.0800000014901,35.99999999955296
78.0,8.0,148.15000000178813,43.16999999761581
79.0,33.0,150.35000000476836,218.35000000476836
80.0,15.0,152.16000000715255,92.0399999986589
81.0,6.0,154.05999999821185,29.089999999403954
82.0,19.0,156.23999999046325,120.35999999523163
83.0,36.0,157.99999999955295,239.18999999344348
84.0,37.0,160.21000000417231,246.3400000143051
85.0,18.0,161.98,113.32999999403954
86.0,30.0,163.98,197.0800000014901
87.0,23.0,166.1999999988079,148.18000000298022
88.0,27.0,168.1399999964237,176.00999999932944
89.0,25.0,170.29000000238418,162.050000000298
90.0,7.0,171.98,36.08000000149011
91.0,10.0,174.23,57.030000000745055
92.0,32.0,176.26999999165534,211.0800000014901
93.0,25.0,177.98999999977647,162.03000000074505
94.0,10.0,180.12000000059604,57.150000001788136
95.0,17.0,182.00999999932944,106.08000000149012
96.0,14.0,184.18999999344348,84.99999999955297
97.0,26.0,186.25000001072883,169.3400000143051
98.0,30.0,188.0800000014901,197.310000013113
99.0,33.0,189.98999999977647,218.36999998569488
100.0,36.0,191.99999999955295,239.08999999940394
